outlet,date,city,url,headline,snippet,sentiment_score,sentiment_label,news_volume_day,headline_missing
Dawn,2026-02-02,Lahore,https://www.dawn.com/news/1970464,Lahore prepares to recapture Basant magic,Hotels and markets saw massive activity as Basant approached with government safety measures.,-1.0,negative,1,False
Dawn,2026-02-03,Lahore,https://www.dawn.com/news/1970829,Basant set to make grand return under clear skies,Authorities deployed surveillance and safety monitoring systems across Lahore.,0.3333,positive,2,False
Dawn,2026-02-04,Lahore,https://www.dawn.com/news/1971014,Public holidays announced for Basant,Government declared holidays and warned about safety risks of kite flying.,0.3333,positive,2,False
Express Tribune,2026-02-04,Lahore,https://tribune.com.pk/story/2590727/in-picture-lahores-markets-and-streets-come-alive-for-basant-after-years,Lahore markets revive for Basant,Markets filled with buyers and decorated streets ahead of festival.,0.0,neutral,2,False
Al Jazeera,2026-02-07,Lahore,https://www.aljazeera.com/features/2026/2/7/how-basant-became-lahores-signature-festival-in-pakistan,Basant returns as cultural festival,People celebrated on rooftops after years of ban.,0.6,positive,2,False
Geo News,2026-02-06,Lahore,https://www.geo.tv/latest/649309-basant-one-killed-five-injured-in-kite-flying-incidents-in-lahore,One killed in Basant incidents,Man electrocuted while retrieving kite and several injured.,-0.3333,negative,7,False
Dawn,2026-02-06,Lahore,https://www.dawn.com/news/1971406,Injuries reported on Basant opening day,Multiple injuries occurred due to kite strings and rooftop falls.,0.0,neutral,7,False
Pakistan Today,2026-02-08,Lahore,https://www.pakistantoday.com.pk/2026/02/08/rooftop-falls-and-kite-string-injuries-mar-basant-celebrations-118-cases-reported-so-far,118 accidents reported during Basant,Authorities reported injuries and deaths due to unsafe kite flying.,0.0,neutral,3,False
Dawn,2026-02-08,Lahore,https://www.dawn.com/news/1971848,118 Basant accidents reported,Over 100 accidents including six deaths recorded in first two days.,-1.0,negative,3,False
Express Tribune,2026-02-08,Lahore,https://tribune.com.pk/story/2591473/kite-flying-incidents-claim-lives,Deaths reported during Basant,Multiple fatalities reported due to rooftop falls.,-1.0,negative,3,False
Dawn,2026-02-09,Lahore,https://www.dawn.com/news/1972030,Transport system faces rush during Basant,Heavy rush caused incidents in public transport systems.,0.0,neutral,1,False
Dawn,2026-02-12,Lahore,https://www.dawn.com/news/1972680,Police report on Basant incidents ordered,Authorities confirmed deaths and injuries during festival.,0.0,neutral,1,False
Express Tribune,2026-02-11,Lahore,https://tribune.com.pk/story/2591902/petition-seeks-action-over-basant-deaths,Petition filed over Basant deaths,Officials challenged over safety failures.,-0.5,negative,1,False
ProPakistani,2026-02-25,Lahore,https://propakistani.pk/2026/02/25/17-dead-during-basant-festival-in-lahore/,17 deaths reported during Basant,Official report confirms fatalities due to falls and electrocution.,-0.6,negative,3,False
Dawn,2026-02-25,Lahore,https://www.dawn.com/news/1975664,17 deaths confirmed in Basant report,Home department confirms deaths and over 100 incidents.,-1.0,negative,3,False
Gulf News,2026-02-25,Lahore,https://gulfnews.com/world/asia/pakistan/basant-revival-under-court-scrutiny-as-17-die-in-lahore-celebrations-1.500455053,Basant under scrutiny after deaths,Court reviews safety concerns after fatalities.,-1.0,negative,3,False
Reuters,2026-02-06,Lahore,https://www.reuters.com/world/asia-pacific/kites-victory-cries-fill-lahore-skies-festival-returns-after-long-ban-2026-02-06/,Basant returns after long ban,Thousands celebrated under strict safety regulations.,0.0,neutral,7,False
AP News,2026-02-06,Lahore,https://apnews.com/article/59cd53ac8a990d6be24823cad45ef720,Basant revived with safety measures,Festival resumed after long ban with strict enforcement.,0.0,neutral,7,False
Daily Pakistan,2026-02-03,Lahore,https://en.dailypakistan.com.pk/03-Feb-2026/basant-2026-case-filed-for-riding-bike-without-safety-rod-in-lahore,Safety violations crackdown begins,Police booked violators of safety rod rules.,-1.0,negative,2,False
Pakistan Today,2026-02-06,Lahore,https://www.pakistantoday.com.pk/2026/02/06/sop-violations-mar-basant-as-electrocution-death-seven-injuries-reported/,Electrocution death during Basant,One person died and several injured due to SOP violations.,-1.0,negative,7,False
Daily Ittehad,2026-02-06,Lahore,https://dailyittehad.com.pk/news/2026/02/06/basant-returns-to-lahore-after-two-decades-with-verve/,Festival begins with violations,Reports of aerial firing and fireworks despite restrictions.,-0.5,negative,7,False
ProPakistani,2026-02-06,Lahore,https://propakistani.pk/2026/02/06/basant-in-lahore-reportedly-leaves-5-injured-and-1-dead/,Early incidents reported,One death and multiple injuries recorded on first day.,-1.0,negative,7,False
PakWheels Blog,2026-02-07,Lahore,https://www.pakwheels.com/blog/kite-string-injuries-hit-motorcyclists-in-lahore-basant-2026/,Motorcyclists injured by kite strings,Stray strings caused serious injuries to riders.,0.0,neutral,2,False
Dawn,2026-02-14,Rawalpindi,https://www.dawn.com/news/1973042,Residents defy Basant ban in Rawalpindi,Illegal celebrations led to injuries and police action.,-1.0,negative,2,False
Express Tribune,2026-02-16,Rawalpindi,https://tribune.com.pk/story/2592775/rawalpindi-intensifies-basant-crackdown,Police crackdown intensifies,Authorities arrested violators and seized kites.,-0.5,negative,1,False
ProPakistani,2026-02-14,Rawalpindi,https://propakistani.pk/2026/02/14/basant-celebrations-continue-in-rawalpindi-despite-government-ban/,Illegal Basant celebrations continue,Crowds ignored ban leading to injuries and congestion.,-1.0,negative,2,False
Dawn,2026-02-15,Rawalpindi,https://www.dawn.com/news/1973100,Rawalpindi sees scattered Basant celebrations despite ban,Residents flew kites in limited areas; police remained on alert.,0.0,neutral,2,False
Express Tribune,2026-02-15,Rawalpindi,https://tribune.com.pk/story/2592850/rawalpindi-basant-crackdown-continues,Crackdown continues in Rawalpindi,Authorities arrested more violators.,-1.0,negative,2,False
